Well_Name;depth_start;depth_end;formation
1-BRSA-930D-SES;1441;3678;FM. CALUMBI
1-BRSA-978-SES;2799;4905;FM. CALUMBI
1-BRSA-978-SES;4905;5011;FM. COTINGUIBA
1-BRSA-978-SES;5011;6300;FM. RIACHUELO
1-BRSA-1013-SES;1532;3695;FM. CALUMBI
1-BRSA-1013-SES;3695;3718;FM. COTINGUIBA
1-BRSA-1013-SES;3718;3744;FM. RIACHUELO
1-BRSA-1013-SES;3744;3917;FM. MURIBECA
1-BRSA-1013-SES;3917;4245;FM. COQUEIRO SECO
1-BRSA-1088-SES;2800;5476;FM. CALUMBI
1-BRSA-1104-SES;2353;5907;FM. CALUMBI
1-BRSA-1104-SES;5907;6050;FM. COTINGUIBA
1-BRSA-1131-SES;2845;5318;FM. CALUMBI
1-BRSA-1131-SES;5318;5447;FM. COTINGUIBA
1-BRSA-1131-SES;5447;6382;FM. RIACHUELO
1-BRSA-1131-SES;6382;6556;FM. MURIBECA
3-BRSA-1069-SES;2449;5818;FM. CALUMBI
3-BRSA-1069-SES;5818;5900;FM. COTINGUIBA
3-BRSA-1163-SES;2444;4925;FM. CALUMBI
3-BRSA-1178D-SES;2501;5219;FM. CALUMBI
3-BRSA-1178D-SES;5219;6261;FM. RIACHUELO
3-BRSA-1180D-SES;2457;5630;FM. CALUMBI
3-BRSA-1194-SES;2828;5401;FM. CALUMBI
3-BRSA-1207-SES;2502;5742;FM. CALUMBI
3-BRSA-1234D-SES;2697;5500;FM. CALUMBI
3-BRSA-1239-SES;2942;5746;FM. CALUMBI
3-BRSA-1244-SES;2797;5528;FM. CALUMBI
3-BRSA-1248D-SES;2291;4920;FM. CALUMBI
3-BRSA-1251-SES;2224;5358;FM. CALUMBI
3-BRSA-1251-SES;5358;5616;FM. COTINGUIBA
3-BRSA-1286-SES;2495;5871;FM. CALUMBI
3-BRSA-1286-SES;5871;6064;FM. COTINGUIBA
3-BRSA-1296-SES;3013;5575;FM. CALUMBI
3-BRSA-1297-SES;2160;5603;FM. CALUMBI
3-BRSA-1303-SES;2507;5428;FM. CALUMBI
3-BRSA-1303-SES;5428;5525;FM. COTINGUIBA
3-BRSA-1333-SES;2857;5395;FM. CALUMBI
3-BRSA-1367-SES;2654;5505;FM. CALUMBI
3-BRSA-1371-SES;2723;5469;FM. CALUMBI
3-BRSA-1371-SES;5469;5635;FM. COTINGUIBA
3-BRSA-1371-SES;5635;5970;FM. RIACHUELO
4-BRSA-197-SES;1493;3750;FM. CALUMBI
4-BRSA-197-SES;3750;3786;FM. RIACHUELO
9-BRSA-1278A-SES;3470;5500;FM. CALUMBI
9-BRSA-1280D-SES;3450;5777;FM. CALUMBI

