Well_Name,MD,INCL,TVD,AZIM,NS,EW,MD_TVD_diff,Is_Deviated
1-BRSA-1083-SES,2745.0,0.0,2745.0,0.0,0.0,0.0,0.0,False
1-BRSA-1083-SES,2748.0,1.04,2748.0,282.84,0.01,-0.03,0.0,False
1-BRSA-1083-SES,2784.0,0.22,2784.0,132.47,0.03,-0.29,0.0,False
1-BRSA-1083-SES,2793.0,0.66,2793.0,146.87,-0.02,-0.25,0.0,False
1-BRSA-1083-SES,2800.0,0.14,2800.0,90.29,-0.06,-0.22,0.0,False
1-BRSA-1083-SES,2836.0,0.47,2836.0,177.78,-0.2,-0.17,0.0,False
1-BRSA-1083-SES,2875.0,0.39,2875.0,209.11,-0.48,-0.23,0.0,False
1-BRSA-1083-SES,2914.0,0.53,2913.99,224.87,-0.72,-0.42,0.01,False
1-BRSA-1083-SES,2953.0,0.43,2952.99,247.0,-0.91,-0.68,0.01,False
1-BRSA-1083-SES,2991.0,0.38,2990.99,242.42,-1.02,-0.93,0.01,False
1-BRSA-1083-SES,3030.0,0.53,3029.99,211.12,-1.24,-1.14,0.01,False
1-BRSA-1083-SES,3070.0,0.99,3069.99,180.28,-1.74,-1.23,0.01,False
1-BRSA-1083-SES,3108.0,0.45,3107.99,263.58,-2.09,-1.38,0.01,False
1-BRSA-1083-SES,3146.0,0.39,3145.98,256.98,-2.13,-1.66,0.02,False
1-BRSA-1083-SES,3185.0,0.31,3184.98,202.26,-2.26,-1.83,0.02,False
1-BRSA-1083-SES,3224.0,0.25,3223.98,223.47,-2.42,-1.93,0.02,False
1-BRSA-1083-SES,3264.0,0.22,3263.98,161.6,-2.56,-1.96,0.02,False
1-BRSA-1083-SES,3301.0,0.4,3300.98,219.32,-2.72,-2.02,0.02,False
1-BRSA-1083-SES,3340.0,0.42,3339.98,223.33,-2.93,-2.2,0.02,False
1-BRSA-1083-SES,3380.0,0.31,3379.98,157.4,-3.14,-2.26,0.02,False
1-BRSA-1083-SES,3418.0,0.14,3417.98,40.51,-3.2,-2.19,0.02,False
1-BRSA-1083-SES,3457.0,0.17,3456.98,119.18,-3.19,-2.11,0.02,False
1-BRSA-1083-SES,3496.0,0.38,3495.98,87.26,-3.21,-1.93,0.02,False
1-BRSA-1083-SES,3534.0,0.44,3533.98,88.84,-3.2,-1.66,0.02,False
1-BRSA-1083-SES,3572.0,0.47,3571.98,69.03,-3.14,-1.37,0.02,False
1-BRSA-1083-SES,3611.0,0.5,3610.98,82.31,-3.06,-1.05,0.02,False
1-BRSA-1083-SES,3655.0,0.53,3654.98,10.24,-2.84,-0.83,0.02,False
1-BRSA-1083-SES,3695.0,0.59,3694.97,49.47,-2.52,-0.64,0.03,False
1-BRSA-1083-SES,3746.0,0.66,3745.97,68.33,-2.24,-0.16,0.03,False
1-BRSA-1083-SES,3751.0,0.96,3750.97,86.57,-2.23,-0.09,0.03,False
1-BRSA-1083-SES,3756.0,1.36,3755.97,95.3,-2.23,0.01,0.03,False
1-BRSA-1083-SES,3761.0,1.89,3760.97,101.34,-2.26,0.15,0.03,False
1-BRSA-1083-SES,3765.0,2.72,3764.96,106.54,-2.3,0.3,0.04,False
1-BRSA-1083-SES,3779.0,4.4,3778.94,112.25,-2.59,1.12,0.06,False
1-BRSA-1083-SES,3789.0,5.16,3788.9,112.46,-2.91,1.89,0.1,True
1-BRSA-1083-SES,3809.0,5.04,3808.82,118.24,-3.67,3.49,0.18,True
1-BRSA-1083-SES,3829.0,5.24,3828.74,112.82,-4.44,5.11,0.26,True
1-BRSA-1083-SES,3849.0,5.0,3848.66,118.47,-5.21,6.72,0.34,True
1-BRSA-1083-SES,3895.0,4.1,3894.52,120.04,-6.99,9.9,0.48,False
1-BRSA-1083-SES,3933.0,3.71,3932.43,121.45,-8.31,12.13,0.57,False
1-BRSA-1083-SES,3971.0,3.46,3970.35,122.9,-9.57,14.14,0.65,False
1-BRSA-1083-SES,4008.0,3.12,4007.29,124.06,-10.74,15.91,0.71,False
1-BRSA-1083-SES,4048.0,2.86,4047.24,123.49,-11.9,17.64,0.76,False
1-BRSA-1083-SES,4087.0,2.52,4086.2,125.38,-12.94,19.16,0.8,False
1-BRSA-1083-SES,4126.0,2.37,4125.16,129.99,-13.95,20.47,0.84,False
1-BRSA-1083-SES,4164.0,2.17,4163.13,130.73,-14.93,21.62,0.87,False
1-BRSA-1083-SES,4204.0,1.74,4203.11,135.67,-15.86,22.62,0.89,False
1-BRSA-1083-SES,4241.0,1.8,4240.09,143.03,-16.72,23.36,0.91,False
1-BRSA-1083-SES,4281.0,1.68,4280.07,148.87,-17.73,24.04,0.93,False
1-BRSA-1083-SES,4320.0,1.67,4319.05,149.62,-18.7,24.62,0.95,False
1-BRSA-1083-SES,4365.0,1.66,4364.04,150.07,-19.84,25.28,0.96,False
1-BRSA-1083-SES,4384.0,1.86,4383.03,152.0,-20.35,25.56,0.97,False
1-BRSA-1083-SES,4404.0,1.9,4403.02,137.65,-20.88,25.94,0.98,False
1-BRSA-1083-SES,4444.0,1.94,4442.99,138.21,-21.87,26.84,1.01,False
1-BRSA-1083-SES,4482.0,1.95,4480.97,140.23,-22.85,27.68,1.03,False
1-BRSA-1083-SES,4520.0,1.98,4518.95,141.02,-23.86,28.5,1.05,False
1-BRSA-1083-SES,4561.0,2.01,4559.92,136.46,-24.93,29.45,1.08,False
1-BRSA-1083-SES,4600.0,2.05,4598.9,137.83,-25.94,30.38,1.1,False
1-BRSA-1083-SES,4638.0,2.24,4636.87,141.65,-27.03,31.3,1.13,False
1-BRSA-1083-SES,4675.0,2.21,4673.85,137.67,-28.12,32.23,1.15,False
1-BRSA-1083-SES,4716.0,2.17,4714.82,134.69,-29.25,33.32,1.18,False
1-BRSA-1083-SES,4753.0,2.18,4751.79,136.73,-30.26,34.3,1.21,False
1-BRSA-1083-SES,4793.0,2.14,4791.76,132.81,-31.32,35.36,1.24,False
1-BRSA-1083-SES,4832.0,2.41,4830.73,132.06,-32.36,36.51,1.27,False
