File,Well_Name,UWI,Company,Field,Location,Country,Province,County,Date,Latitude,Longitude,STRT,STOP,STEP,KB,GL,DF,WDEP,EGL,TDD,NULL_VAL,Lat_dd,Lon_dd,UTM_E,UTM_N,logged_interval_m,water_depth_m,overburden_thickness_m
1-BRSA-1013-SES.las,1-BRSA-1013-SES,,PETROBRAS,SEAL-M-495,SEAL-M-495,BRASIL,,,12/03/2026,-11.2806445281,-36.8265774727,3351.8094,4277.487,0.1524,12.0,-1520.0,12.0,,,,-999.0,-11.2806445281,-36.8265774727,737258.5,8752108.7,925.6776,1520.0,4859.8094
1-BRSA-1088-SES.las,1-BRSA-1088-SES,,PETROBRAS,SEAL-M-499,SEAL-M-499,BRASIL,,,20/01/2024,-11.2718111112,-36.3692277779,3512.6676,5479.542,0.1524,25.3,-2749.0,25.0,,,,-999.0,-11.2718111112,-36.3692277779,787222.99,8752676.45,1966.8744000000002,2749.0,6236.3676
1-BRSA-1104-SES.las,1-BRSA-1104-SES,,PETROBRAS,SEAL-M-349,SEAL-M-349,,,,20/01/2024,-10.9577963056,-36.0829314444,5110.0,6048.3,0.1,25.0,-2328.0,25.0,,,,-999.0,-10.9577963056,-36.0829314444,818845.7,8787143.2,938.3000000000002,2328.0,7413.0
1-BRSA-1131-SES.las,1-BRSA-1131-SES,,PETROBRAS,SEAL-M-569,SEAL-M-569,,,,20/01/2024,-11.5462704998,-36.6282721943,4513.6001,6565.2001,0.1,25.0,-2820.0,25.0,,,,-999.0,-11.5462704998,-36.6282721943,758676.3,8722546.0,2051.6000000000004,2820.0,7308.6001
1-BRSA-930D-SES.las,1-BRSA-930D-SES,,PETROBRAS,SEAL-M-495,SEAL-M-495,BRASIL,,,11/03/2026,-11.2796701113,-36.8266818608,1445.2092,3640.6836,0.1524,12.0,-1429.0,12.0,,,,-999.0,-11.2796701113,-36.8266818608,737247.9,8752216.6,2195.4744,1429.0,2862.2092000000002
1-BRSA-978-SES.las,1-BRSA-978-SES,,PETROBRAS,SEAL-M-497,SEAL-M-497,,,,19/01/2024,-11.4448433,-36.6721361113,3575.8,5551.1,0.1,24.0,-2775.0,24.0,,,,-999.0,-11.4448433,-36.6721361113,753980.68,8733809.12,1975.3000000000002,2775.0,6326.8
3-BRSA-1069-SES.las,3-BRSA-1069-SES,,PETROBRAS,SEAL-M-426,SEAL-M-426,,,,22/01/2024,-11.0578814,-36.160222222,3296.6998,5696.1998,0.1,25.0,,25.0,,,,-999.0,-11.0578814,-36.160222222,810286.06,8776144.85,2399.5000000000005,2459.4,5731.0998
3-BRSA-1163-SES.las,3-BRSA-1163-SES,,PETROBRAS,PAD 1-BRSA-851-SES (1-SES-158),PAD 1-BRSA-851-SES (1-SES-158),,,,22/01/2024,-11.043164694,-36.2228470002,3900.9002,4926.2002,0.1,25.0,-2419.0,25.0,,,,-999.0,-11.043164694,-36.2228470002,803453.5,8777838.3,1025.3000000000002,2419.0,6294.9002
3-BRSA-1178D-SES.las,3-BRSA-1178D-SES,,PETROBRAS,PAD 1-BRSA-1083-SES,PAD 1-BRSA-1083-SES,,,,22/01/2024,-11.0816760837,-36.1265344726,5772.2998,6271.7998,0.1,26.0,-2476.0,25.0,,,,-999.0,-11.0816760837,-36.1265344726,813944.4,8773475.5,499.5,2476.0,8222.2998
3-BRSA-1180D-SES.las,3-BRSA-1180D-SES,,PETROBRAS,1-BRSA-1108-SES,1-BRSA-1108-SES,BRASIL,,,13/03/2026,-11.14,-36.3299999724,3299.6124,5641.3908,0.1524,25.0,-2432.0,25.0,,,,-999.0,-11.14,-36.3299999724,791640.9,8767227.03,2341.7784,2432.0,5706.6124
