Well_Name,R2,RMSE,MAE,N_samples_test,Time_seconds,best_epoch
1-BRSA-1013-SES,0.7538217875326585,5.956052892696439,4.588044113163044,4738,211.31218147277832,35
1-BRSA-1088-SES,0.8313118126253577,4.20051929076174,2.893495965701559,5890,123.34227061271667,11
1-BRSA-1104-SES,0.849987782838581,2.518841984181565,2.122328988169177,4945,157.95563864707947,21
1-BRSA-1131-SES,0.7325432207643342,4.7542069379603,3.726070077125463,11519,132.59510564804077,15
1-BRSA-930D-SES,-0.13992330292186628,8.66965241637068,7.810475010124188,9512,146.5421793460846,18
1-BRSA-978-SES,0.7392464911283804,5.548136070929846,4.611942925094285,5054,147.98255395889282,18
3-BRSA-1069-SES,0.1920182372898277,7.283522055577419,5.702118069510971,10602,85.6090157032013,2
3-BRSA-1163-SES,0.7363778471121749,5.342674887074059,4.634987434069242,8590,103.70721292495728,8
3-BRSA-1178D-SES,0.7963340481846575,4.850145357675567,3.662623727283767,3436,130.95285391807556,13
3-BRSA-1180D-SES,0.743226324201711,6.87382759849688,5.793887122124839,12931,117.08384346961975,12
3-BRSA-1194-SES,0.7465754667676686,5.232810306209235,3.7807436935194696,3846,151.42392349243164,20
3-BRSA-1207-SES,0.10703866731546641,10.312498356616505,9.041687994996783,8058,186.64601159095764,29
3-BRSA-1234D-SES,0.8053908223008179,3.8392191499734794,3.0220504508434076,5799,128.51906776428223,13
3-BRSA-1239-SES,0.7844135241285174,4.391160370314662,3.7394953717599018,7777,225.31128215789795,39
3-BRSA-1244-SES,0.7986225840451907,4.192946461700622,3.563064056218618,10123,158.00648307800293,21
3-BRSA-1248D-SES,0.6682192599011516,6.018619944647863,5.137235460562405,13658,118.51485586166382,12
3-BRSA-1251-SES,0.808622179070856,4.029276752347233,3.152392981398274,6031,214.2598705291748,36
3-BRSA-1286-SES,0.746957710976448,3.9016483237275694,3.2057567077268634,5472,156.94221425056458,19
3-BRSA-1296-SES,0.580198745958749,6.984707255616465,5.816219633189092,5233,107.22998285293579,7
3-BRSA-1297-SES,0.86254116718742,5.224667654858509,4.3538177489309815,17626,81.59959840774536,2
3-BRSA-1303-SES,0.7045581911040087,4.7619232085024175,4.13214436839236,7659,151.22497034072876,19
3-BRSA-1333-SES,0.2839186844611584,8.076473287131291,7.481517464750936,7260,171.5545210838318,24
3-BRSA-1367-SES,0.8793557010693908,4.609035435613912,3.523660585813822,9791,188.36700320243835,30
3-BRSA-1371-SES,0.7564041803103421,7.039716060398623,6.109852355891775,8792,212.19722414016724,35
4-BRSA-197-SES,0.8144196114999421,3.8029428908915683,2.935162619580792,4516,105.49849271774292,7
9-BRSA-1278A-SES,0.849370805282633,5.8688720283629,4.68113988508308,11119,85.59587740898132,3
9-BRSA-1280D-SES,0.8301535330575874,6.200902221273083,4.872784049632421,21838,79.41059446334839,2
