Algorithm,R2_out_CALI,R2_with_CALI,Delta_R2,Degradation_R2_pct,RMSE_out_CALI,RMSE_with_CALI,Delta_RMSE
BaggingRegressor,0.8361913730388597,0.5847393079975339,0.2514520650413258,30.071114477958172,4.236136106650282,6.744689048607094,2.508552941956812
RandomForestRegressor,0.8507975951736472,0.6476364979879683,0.20316109718567887,23.8788988518725,4.042866791610303,6.21293742111612,2.170070629505817
ExtraTreesRegressor,0.8662538498291787,0.7600840750628096,0.10616977476636913,12.25619658571276,3.82773766284506,5.126619186328928,1.298881523483868
LGBMRegressor,0.901576810874174,0.8157671207422942,0.08580969013187978,9.51773482823701,3.283599924142563,4.49246901258961,1.208869088447047
XGBRegressor,0.8789173084576499,0.8044704771814994,0.07444683127615048,8.470288451457622,3.642021905581589,4.628152818756134,0.986130913174545
MLPRegressor,0.8761377637720418,0.807726677726405,0.06841108604563673,7.808256746188638,3.683587399780216,4.589454152336422,0.9058667525562054
HistGradientBoostingRegressor,0.9001796370570024,0.8332436851029478,0.06693595195405466,7.435843824782724,3.306824089885669,4.274080179645388,0.9672560897597191
SVR,0.8695393576640413,0.810798394887168,0.05874096277687335,6.755411616407677,3.780430659811119,4.552646487383429,0.7722158275723099
NuSVR,0.8678291166399307,0.8124821921462424,0.055346924493688276,6.377629354956543,3.805129281394175,4.532343104482888,0.7272138230887131
GradientBoostingRegressor,0.8785226003028532,0.8343042368569402,0.04421836344591301,5.033264190433987,3.647953249299394,4.260467161742158,0.6125139124427639
