Algorithm,R2_out_IQR,R2_with_IQR,Delta_R2,RMSE_out_IQR,RMSE_with_IQR,Delta_RMSE
MLPRegressor,0.8761377637720418,0.9123303208378954,0.03619255706585367,3.683587399780216,3.08100572041897,0.6025816793612462
NuSVR,0.8678291166399307,0.901413361170953,0.03358424453102238,3.805129281394175,3.2672083186440086,0.5379209627501664
SVR,0.8695393576640413,0.9020751129322756,0.03253575526823427,3.780430659811119,3.2562244708592125,0.5242061889519065
GradientBoostingRegressor,0.8785226003028532,0.901990522823064,0.023467922520210793,3.647953249299394,3.2576305737075044,0.3903226755918894
XGBRegressor,0.8789173084576499,0.9010779072945984,0.02216059883694843,3.642021905581589,3.2727621491246763,0.36925975645691267
RandomForestRegressor,0.8507975951736472,0.872015854910579,0.02121825973693181,4.042866791610303,3.722595790834556,0.32027100077574655
BaggingRegressor,0.8361913730388597,0.8551016881468652,0.01891031510800545,4.236136106650282,3.960950900035341,0.2751852066149407
HistGradientBoostingRegressor,0.9001796370570024,0.91687362053103,0.01669398347402762,3.306824089885669,3.000110346844644,0.30671374304102494
ExtraTreesRegressor,0.8662538498291787,0.8826424483179663,0.016388598488787598,3.82773766284506,3.564702710776082,0.2630349520689781
LGBMRegressor,0.901576810874174,0.9170120365698674,0.015435225695693444,3.283599924142563,2.997611522742972,0.28598840139959103
