Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
GradientBoostingRegressor,0.8342151914124308,0.8343042368569402,4.260467161742158,35.78001689910889
HistGradientBoostingRegressor,0.8331540697144605,0.8332436851029478,4.274080179645388,0.6575121879577637
LGBMRegressor,0.8156681133910164,0.8157671207422942,4.49246901258961,0.39825010299682617
NuSVR,0.8123814194636039,0.8124821921462424,4.532343104482888,2072.0386443138123
SVR,0.8106967173263808,0.810798394887168,4.552646487383429,1575.6237165927887
MLPRegressor,0.8076233494147791,0.807726677726405,4.589454152336422,91.68727397918701
XGBRegressor,0.8043653989770613,0.8044704771814994,4.628152818756134,0.35123395919799805
ExtraTreesRegressor,0.7599551434608443,0.7600840750628096,5.126619186328928,42.06082463264465
KNeighborsRegressor,0.6959639586192247,0.6961272608221363,5.769622395376911,0.43798208236694336
RandomForestRegressor,0.6474471366906703,0.6476364979879683,6.21293742111612,157.38327646255493
AdaBoostRegressor,0.5990288402516382,0.5992442077238416,6.625847324995536,12.573073387145996
LarsCV,0.5921658366264629,0.5923848903182524,6.682310590945074,0.22612929344177246
LassoLarsCV,0.5921658366264629,0.5923848903182524,6.682310590945074,0.22982525825500488
LassoCV,0.5883835835979417,0.5886046687931303,6.713224947437101,0.3894953727722168
BaggingRegressor,0.584516145544824,0.5847393079975339,6.744689048607094,16.154550552368164
Lasso,0.5793275803209729,0.5795535296279226,6.786672245213052,0.04859185218811035
LassoLars,0.5793152322855721,0.5795411882248322,6.786771849382785,0.046564340591430664
OrthogonalMatchingPursuitCV,0.5759543502787983,0.5761821113969212,6.8138279320320985,0.19136691093444824
OrthogonalMatchingPursuit,0.5737630950533932,0.5739920331267343,6.831410469407376,0.06678462028503418
LinearRegression,0.538474275546216,0.5387221677604461,7.108579298901089,0.046253204345703125
TransformedTargetRegressor,0.538474275546216,0.5387221677604461,7.108579298901089,0.04839754104614258
LassoLarsIC,0.5384742755462151,0.5387221677604452,7.108579298901096,0.06609463691711426
Lars,0.5384742755462151,0.5387221677604452,7.108579298901096,0.04361319541931152
RidgeCV,0.5384740123452223,0.5387219047008216,7.108581325857301,0.10078239440917969
Ridge,0.5384716340964093,0.5387195277294009,7.108599641135067,0.04590034484863281
BayesianRidge,0.5384695669824103,0.538717461725679,7.108615560275107,0.05925130844116211
HuberRegressor,0.5332858457465276,0.5335365247422594,7.148424625249968,0.418071985244751
SGDRegressor,0.5315831188163818,0.5318347123716421,7.161452656984695,0.2364342212677002
LinearSVR,0.5131496425104505,0.5134111369553369,7.301004275786421,1.8771514892578125
ExtraTreeRegressor,0.4927696049642182,0.49304204582523214,7.452251295699137,0.47502756118774414
ElasticNetCV,0.4563428032932558,0.4566348095220166,7.715204231109347,0.4023115634918213
PoissonRegressor,0.40796239665279865,0.40828038870530015,8.051179366679026,0.08463859558105469
DecisionTreeRegressor,0.37954955970154214,0.37988281270417323,8.2421099685919,2.3969547748565674
ElasticNet,0.32076668862532687,0.32113151476743385,8.623713990631767,0.047913312911987305
PassiveAggressiveRegressor,0.24871258121194384,0.24911610866859235,9.069595417991154,0.3766958713531494
TweedieRegressor,0.2314280414194505,0.231840852655126,9.173332253765764,0.05777406692504883
GammaRegressor,0.1414930177298207,0.14195413438159332,9.695199989260763,0.06244540214538574
RANSACRegressor,0.06381874840291835,0.06432158504036445,10.124295812181494,0.16690731048583984
DummyRegressor,-0.1442792390063481,-0.1436646298974178,11.193112412427949,0.03636026382446289
QuantileRegressor,-0.27863668452800994,-0.2779499100707492,11.832007501446071,2052.4957592487335
