Well_Name,R2,RMSE,MAE,N_samples_train,N_samples_test,Time_seconds
1-BRSA-1013-SES,0.6826323425254828,6.762621362182659,5.2198311151664365,227077,4738,1.3615005016326904
1-BRSA-1088-SES,0.7931900918090412,4.650999776633007,3.3666425276498946,225925,5890,1.4124484062194824
1-BRSA-1104-SES,0.7214516163542479,3.4323212563664915,3.005784659607862,226870,4945,1.3067536354064941
1-BRSA-1131-SES,0.7442290193743659,4.649185884317253,3.4410247306077557,220296,11519,1.4572093486785889
1-BRSA-930D-SES,0.5731306470621403,5.305317236512122,4.0948009843617275,222303,9512,1.305835485458374
1-BRSA-978-SES,0.8747966555356463,3.8445010884164246,2.9629524942450765,226761,5054,1.604949712753296
3-BRSA-1069-SES,0.39353254660110437,6.310218681906571,4.564380453586837,221213,10602,1.2557988166809082
3-BRSA-1163-SES,0.9090300081166216,3.1384619955885587,2.2615032506678836,223225,8590,1.3690829277038574
3-BRSA-1178D-SES,0.7064448673955914,5.822914026860027,4.503719777024466,228379,3436,1.3342392444610596
3-BRSA-1180D-SES,0.8247185102737824,5.679255590171435,4.624367323803554,218884,12931,1.2358992099761963
3-BRSA-1194-SES,0.8163786543306408,4.454225980648618,2.859020124204822,227969,3846,1.4255950450897217
3-BRSA-1207-SES,0.4898421966072892,7.794707678899577,6.166431368543191,223757,8058,1.608825922012329
3-BRSA-1234D-SES,0.8444294851296542,3.4326133635529597,2.4776009643594543,226016,5799,1.2965373992919922
3-BRSA-1239-SES,0.9004426204037346,2.984044328037012,2.3540398108125773,224038,7777,1.3135395050048828
3-BRSA-1244-SES,0.8701942189728777,3.366363059856579,2.4488109347484905,221692,10123,1.2864906787872314
3-BRSA-1248D-SES,0.7829606698279864,4.8678877415050295,3.784493386755092,218157,13658,1.4007892608642578
3-BRSA-1251-SES,0.8155472256081022,3.955704955741117,3.2795671795102,225784,6031,1.3533034324645996
3-BRSA-1286-SES,0.8585810556184552,2.9167913498085034,2.1391721290375254,226343,5472,1.3003313541412354
3-BRSA-1296-SES,0.8105482263448271,4.692190982696166,3.1361007192116968,226582,5233,1.7118518352508545
3-BRSA-1297-SES,0.9203448824817002,3.977216067463772,2.805053546936604,214189,17626,1.2550110816955566
3-BRSA-1303-SES,0.9049985401017128,2.7002971022772027,2.0618408131031134,224156,7659,1.2984013557434082
3-BRSA-1333-SES,0.7908497983834853,4.364854122730815,3.6545156070179825,224555,7260,1.2267744541168213
3-BRSA-1367-SES,0.8834981894803635,4.529215474118635,3.2797111131262078,222024,9791,1.2942705154418945
3-BRSA-1371-SES,0.9132412249614348,4.201234593405804,3.050015228604601,223023,8792,1.282707929611206
4-BRSA-197-SES,0.7665432715688854,4.265372468965405,3.1004209001675673,227299,4516,1.3486864566802979
9-BRSA-1278A-SES,0.9312258976625583,3.965633072919229,2.778213521654883,220696,11119,1.3139519691467285
9-BRSA-1280D-SES,0.926968269371701,4.066140871330047,2.873203722863648,209977,21838,1.2838964462280273
