Well_Name,R2,RMSE,MAE,N_samples_test,Time_seconds,best_epoch
1-BRSA-1013-SES,0.6016191571777854,7.576750074906427,6.117215671122893,4738,88.94404530525208,5
1-BRSA-1088-SES,0.7789118492208722,4.808873815177981,3.464849446507504,5890,134.63200569152832,20
1-BRSA-1104-SES,0.7701060616583417,3.118181343115704,2.419616025699195,4945,174.65850567817688,33
1-BRSA-1131-SES,0.49102682979560985,6.558412385350666,4.800385977325718,11519,128.4928081035614,19
1-BRSA-930D-SES,-0.16855428717585053,8.777853265759845,7.7822156584307365,9512,270.6759943962097,59
1-BRSA-978-SES,0.8538649448927601,4.153452298221725,3.118111709687716,5054,173.47899293899536,30
3-BRSA-1069-SES,0.5863693170110855,5.21131150860997,3.471370308196682,10602,266.03218388557434,58
3-BRSA-1163-SES,0.7934456351385234,4.729170637494401,3.72585741029111,8590,111.50082874298096,14
3-BRSA-1178D-SES,0.617133167204031,6.649965799325949,5.086250311874371,3436,143.64463591575623,21
3-BRSA-1180D-SES,0.7217235891461901,7.155855843294442,5.938306688976399,12931,142.5524868965149,24
3-BRSA-1194-SES,0.7411157015070164,5.2888776370482296,3.49930170276501,3846,132.18736720085144,19
3-BRSA-1207-SES,0.2276326497867608,9.590903451400573,7.2618080848964635,8058,125.88549470901489,17
3-BRSA-1234D-SES,0.7765096084803942,4.114249950206671,3.1717464950316816,5799,132.14457249641418,20
3-BRSA-1239-SES,0.7956717804111576,4.27496651262413,3.5734605560816792,7777,167.2384114265442,31
3-BRSA-1244-SES,0.8088201408155953,4.085403944684064,3.280265471782042,10123,221.07767176628113,47
3-BRSA-1248D-SES,0.7685063507715792,5.027370295337423,4.0311025350360925,13658,251.9570918083191,59
3-BRSA-1251-SES,0.7115147983502107,4.947013158319272,4.0017578555089885,6031,128.36877965927124,19
3-BRSA-1286-SES,0.7653359575333765,3.7572910819071463,2.914285690271924,5472,130.22864031791687,20
3-BRSA-1296-SES,0.6900061121183716,6.002095597355993,4.449819287009069,5233,108.05911016464233,13
3-BRSA-1297-SES,0.8551651667626801,5.363013074216417,4.1879454983670446,17626,100.01349401473999,12
3-BRSA-1303-SES,0.8582762385195067,3.298129818177404,2.5978467994882197,7659,393.54372668266296,104
3-BRSA-1333-SES,0.45492100701097826,7.046448991261688,6.275926663840218,7260,111.74188160896301,14
3-BRSA-1367-SES,0.8726458768755397,4.735470658883397,3.4286620874818867,9791,309.0030333995819,73
3-BRSA-1371-SES,0.8280381690664753,5.914748153728951,4.61667917116285,8792,291.69006061553955,65
4-BRSA-197-SES,0.7822292768248112,4.119585401880207,3.272330943940317,4516,236.17726063728333,48
9-BRSA-1278A-SES,0.902795335718495,4.714586572279283,3.465564763193914,11119,176.71562266349792,36
9-BRSA-1280D-SES,0.8960344652622643,4.851447325615234,3.654939736240589,21838,125.82208776473999,21
