Well_Name,R2,RMSE,MAE,N_samples_train,N_samples_test,Time_seconds
1-BRSA-1013-SES,0.6707239881944149,6.888327472237923,5.33841305529895,227077,4738,12.211885213851929
1-BRSA-1088-SES,0.773065844160722,4.872037035149649,3.5712786729021055,225925,5890,12.368082046508789
1-BRSA-1104-SES,0.7254675449958716,3.407488944500114,2.9886840948615014,226870,4945,12.346616506576538
1-BRSA-1131-SES,0.7282320014828871,4.792371030617206,3.472519633099513,220296,11519,12.546577215194702
1-BRSA-930D-SES,0.47837138345247676,5.864683433827542,4.595739486608716,222303,9512,13.961368083953857
1-BRSA-978-SES,0.8842302048658496,3.696831495745403,2.7014193583186814,226761,5054,12.42813777923584
3-BRSA-1069-SES,0.36397073004967895,6.462182393058168,4.665725864869336,221213,10602,14.90554928779602
3-BRSA-1163-SES,0.9129821753914782,3.0695301749432473,2.2161577825784033,223225,8590,14.202277421951294
3-BRSA-1178D-SES,0.7129170601538017,5.758365553519135,4.432039432670404,228379,3436,14.370312690734863
3-BRSA-1180D-SES,0.8381780034893151,5.456851859527551,4.5074798726857725,218884,12931,13.076413869857788
3-BRSA-1194-SES,0.815573372694947,4.463982423522457,2.8967759003954394,227969,3846,13.53084659576416
3-BRSA-1207-SES,0.6009922310366016,6.893475582088968,5.414296328583302,223757,8058,13.634787321090698
3-BRSA-1234D-SES,0.853210645760661,3.334329573359458,2.4047305526991476,226016,5799,12.977505683898926
3-BRSA-1239-SES,0.9029522074702157,2.9461942143953888,2.3504261303743266,224038,7777,13.088312149047852
3-BRSA-1244-SES,0.8829376790478556,3.196851776205902,2.318719513597298,221692,10123,13.844455003738403
3-BRSA-1248D-SES,0.7786846929614293,4.91560594077365,3.813117684520351,218157,13658,12.485982179641724
3-BRSA-1251-SES,0.7946005847039984,4.174273462716992,3.4953366092274676,225784,6031,13.105087995529175
3-BRSA-1286-SES,0.8554989338718075,2.948404690567693,2.202451893555593,226343,5472,13.058568239212036
3-BRSA-1296-SES,0.8145764379391707,4.642039190795195,3.132878851212035,226582,5233,13.036592245101929
3-BRSA-1297-SES,0.9191520661286702,4.006884341529481,2.8100995615622004,214189,17626,12.709431409835815
3-BRSA-1303-SES,0.9052060785510827,2.6973459798567534,2.0370122883966366,224156,7659,12.677956581115723
3-BRSA-1333-SES,0.7806664690739096,4.469851603726737,3.746220839170765,224555,7260,12.991135835647583
3-BRSA-1367-SES,0.8838919352021544,4.521555212951983,3.29676245772803,222024,9791,13.320465087890625
3-BRSA-1371-SES,0.9135347285655727,4.194122216976154,3.027767299869787,223023,8792,13.007642030715942
4-BRSA-197-SES,0.7644370110628449,4.284570486985851,3.1039542342237594,227299,4516,13.473436117172241
9-BRSA-1278A-SES,0.9307729914476378,3.978669321660417,2.7895899285576684,220696,11119,13.007025957107544
9-BRSA-1280D-SES,0.9257637040532154,4.099536635080485,2.905861342186713,209977,21838,12.50608777999878
