Well_Name,R2,RMSE,MAE,N_samples_train,N_samples_test,Time_seconds
1-BRSA-1013-SES,0.6910810391437019,6.671999752879339,5.207174140040671,227077,4738,1.5356764793395996
1-BRSA-1088-SES,0.8166904624406175,4.378780533003662,3.012569038801987,225925,5890,1.3268556594848633
1-BRSA-1104-SES,0.711733555691541,3.4916817596586402,3.0608859206705894,226870,4945,1.2894489765167236
1-BRSA-1131-SES,0.7412016231622455,4.676619652247611,3.4995488800268717,220296,11519,1.5201599597930908
1-BRSA-930D-SES,0.566293858626864,5.347633757174094,4.159989024872776,222303,9512,1.2864737510681152
1-BRSA-978-SES,0.8715181973816595,3.8945100937843047,2.993426001547786,226761,5054,1.416855812072754
3-BRSA-1069-SES,0.38371912476466674,6.361067526395448,4.568026297060973,221213,10602,1.2527236938476562
3-BRSA-1163-SES,0.9109015523427099,3.1060101084741305,2.2339435098639635,223225,8590,1.3953917026519775
3-BRSA-1178D-SES,0.7012378711695033,5.874329614617837,4.551835442253707,228379,3436,1.431445598602295
3-BRSA-1180D-SES,0.8411187484464315,5.407041619448313,4.416978323030314,218884,12931,1.2694838047027588
3-BRSA-1194-SES,0.8079244997095594,4.555611182993164,2.926576437965111,227969,3846,1.6565945148468018
3-BRSA-1207-SES,0.5847481397464904,7.03239666059979,5.5923090511319185,223757,8058,1.664867877960205
3-BRSA-1234D-SES,0.8332766542925262,3.5535256354551246,2.5830488000576692,226016,5799,1.2699627876281738
3-BRSA-1239-SES,0.8993797754469179,2.999930426386781,2.3527354636782034,224038,7777,1.3833222389221191
3-BRSA-1244-SES,0.8698173347743146,3.3712465459636327,2.4585937775873115,221692,10123,1.3690745830535889
3-BRSA-1248D-SES,0.7853294674418316,4.841250457421853,3.7512643550772813,218157,13658,1.2960755825042725
3-BRSA-1251-SES,0.8245181486995861,3.858312493051526,3.1672392788342583,225784,6031,1.5850903987884521
3-BRSA-1286-SES,0.8597754412867562,2.9044480220529594,2.1126814516937524,226343,5472,1.5520062446594238
3-BRSA-1296-SES,0.8081619199830733,4.721649578806487,3.1946490318293974,226582,5233,1.5503413677215576
3-BRSA-1297-SES,0.9198646592906002,3.9891869327806697,2.785506312670979,214189,17626,1.4064767360687256
3-BRSA-1303-SES,0.9071316209309966,2.6698099266478534,2.0436551915663967,224156,7659,1.4294207096099854
3-BRSA-1333-SES,0.7859355318360413,4.415835464843002,3.68761022275394,224555,7260,1.6654880046844482
3-BRSA-1367-SES,0.8807908073147096,4.581540378722761,3.322478588986253,222024,9791,1.3068761825561523
3-BRSA-1371-SES,0.9116733648790064,4.239025899944564,3.0809767391319385,223023,8792,1.4417994022369385
4-BRSA-197-SES,0.7565404618159997,4.355792279387245,3.2664371390059737,227299,4516,1.2793526649475098
9-BRSA-1278A-SES,0.9297624203231287,4.007604277610065,2.8202728603919853,220696,11119,1.3978989124298096
9-BRSA-1280D-SES,0.9280779662723091,4.03513068095994,2.8667255847186417,209977,21838,1.3044512271881104
